LEV 1:1	Domnul l-a chemat pe Moise și i-a vorbit din Cortul Întâlnirii, spunând:
LEV 1:2	„Vorbește fiilor lui Israel și spune-le: Când cineva dintre voi aduce un dar Domnului, să aduceți darul vostru din animale, din cireadă sau din turmă.
LEV 1:3	Dacă darul lui este o jertfă de ardere de tot din cireadă, să aducă un mascul fără cusur. Să-l aducă la intrarea Cortului Întâlnirii, ca să fie primit înaintea Domnului.
LEV 1:4	Să-și pună mâna pe capul jertfei de ardere de tot și ea va fi primită pentru el, ca să facă ispășire pentru el.
LEV 1:5	Să junghie taurul înaintea Domnului, iar fiii lui Aaron, preoții, să aducă sângele și să stropească cu sânge de jur împrejur pe altarul care este la intrarea Cortului Întâlnirii.
LEV 1:6	Să jupoaie jertfa de ardere de tot și să o taie în bucăți.
LEV 1:7	Fiii preotului Aaron să pună foc pe altar și să așeze lemnele pe foc.
LEV 1:8	Preoții, fiii lui Aaron, să așeze bucățile, capul și grăsimea pe lemnele puse pe focul de pe altar.
LEV 1:9	Iar măruntaiele și picioarele să le spele cu apă. Preotul să le ardă pe toate pe altar ca jertfă de ardere de tot, o jertfă mistuită de foc, de un miros plăcut Domnului.
LEV 1:10	Dacă darul lui este din turmă, din miei sau din capre, pentru o jertfă de ardere de tot, să aducă un mascul fără cusur.
LEV 1:11	Să-l junghie pe partea de nord a altarului, înaintea Domnului, iar fiii lui Aaron, preoții, să stropească cu sângele lui pe altar de jur împrejur.
LEV 1:12	Să-l taie în bucăți, împreună cu capul și grăsimea lui, iar preotul să le așeze pe lemnele puse pe focul de pe altar.
LEV 1:13	Măruntaiele și picioarele să le spele cu apă, iar preotul să le aducă pe toate și să le ardă pe altar. Aceasta este o jertfă de ardere de tot, o jertfă mistuită de foc, de un miros plăcut Domnului.
LEV 1:14	Dacă darul adus ca jertfă de ardere de tot Domnului este din păsări, să-și aducă darul din turturele sau din pui de porumbel.
LEV 1:15	Preotul să o aducă la altar, să-i rupă capul și să o ardă pe altar, iar sângele ei să fie stors pe peretele altarului.
LEV 1:16	Să-i scoată gușa cu penele ei și să o arunce lângă altar, spre răsărit, în locul unde se pune cenușa.
LEV 1:17	Să o sfâșie de la aripi, fără să o despartă de tot, iar preotul să o ardă pe altar, pe lemnele puse pe foc. Aceasta este o jertfă de ardere de tot, o jertfă mistuită de foc, de un miros plăcut Domnului.”
LEV 2:1	Când cineva aduce Domnului un dar ca jertfă de mâncare, darul lui să fie din floarea făinii. Să toarne untdelemn peste ea și să pună tămâie pe ea,
LEV 2:2	apoi să o aducă la preoți, fiii lui Aaron. Preotul să ia din ea un pumn plin de floarea făinii și de untdelemn, împreună cu toată tămâia, și să ardă pe altar această parte de aducere aminte ca jertfă mistuită de foc, de un miros plăcut Domnului.
LEV 2:3	Ce va rămâne din jertfa de mâncare va fi a lui Aaron și a fiilor lui; este un lucru preasfânt din jertfele mistuite de foc ale Domnului.
